Exception in thread "DisconnectableInputStream source reader" org.gradle.api.UncheckedIOException: java.io.IOException: Bad file descriptor
	at org.gradle.internal.UncheckedException.throwAsUncheckedException(UncheckedException.java:61)
	at org.gradle.internal.UncheckedException.throwAsUncheckedException(UncheckedException.java:41)
	at org.gradle.util.DisconnectableInputStream$1.run(DisconnectableInputStream.java:127)
	at java.lang.Thread.run(Thread.java:748)
Caused by: java.io.IOException: Bad file descriptor
	at java.io.FileInputStream.readBytes(Native Method)
	at java.io.FileInputStream.read(FileInputStream.java:255)
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:284)
	at java.io.BufferedInputStream.read(BufferedInputStream.java:345)
	at org.gradle.util.DisconnectableInputStream$1.run(DisconnectableInputStream.java:98)
	... 1 more
Configuration on demand is an incubating feature.
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize
0,0,9,521,2.0254547337765004E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",10.0
0,1,6,426,2.1053391633000005E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",11.0
0,2,9,112,2.2896729433780007E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",14.0
0,3,9,164,2.5709968270340804E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",16.0
0,4,13,201,2.6625966404269792E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0
0,5,13,295,2.6625966404269792E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0
0,6,12,380,2.8363988210383233E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",21.0
0,7,12,426,2.9191853849620063E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",21.0
0,8,12,434,2.9191853849620063E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0
0,9,12,557,2.9189884988972407E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0
0,10,14,580,2.9415743929120246E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0
0,11,14,825,2.9415743929120246E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0
0,12,17,1169,2.941369167136495E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0
0,13,16,1270,2.9423340948720377E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0
0,14,18,1347,2.946441964557544E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0
0,0,8,42,2.1263666148000006E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",11.0
0,1,8,27,2.53903627815E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",12.0
0,2,10,29,2.562671600250001E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",14.0
0,3,12,47,2.6130835643200926E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",16.0
0,4,12,93,2.658054394800001E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0
0,5,13,151,2.6943881170925006E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0
0,6,17,147,2.744043460570952E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0
0,7,16,181,2.796579708575551E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",16.0
0,8,15,229,2.8239338893013924E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",16.0
0,9,17,326,2.8249166521474227E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0
0,10,20,305,2.932060563491697E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",20.0
0,11,20,404,2.932060563491697E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",22.0
0,12,20,461,2.9318636848289307E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",24.0
0,13,16,630,2.932636416192912E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",25.0
0,14,16,908,2.932636416192912E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,193.0899248951682,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",25.0
0,0,8,36,2.9696003170200013E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1437,false,0.5,0.7,1.0,0.5,150.0,223.74269906722108,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",11.0
0,1,8,18,2.9696003170200013E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1437,false,0.5,0.7,1.0,0.5,150.0,223.74269906722108,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",12.0
0,2,19,23,3.1061667374211837E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1437,false,0.5,0.7,1.0,0.5,150.0,223.74269906722108,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",13.0
0,3,19,119,3.1061667374211837E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1437,false,0.5,0.7,1.0,0.5,150.0,223.74269906722108,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",14.0
0,4,16,64,3.501234277020003E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1437,false,0.5,0.7,1.0,0.5,150.0,223.74269906722108,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",14.0
0,5,16,184,3.501234277020003E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1437,false,0.5,0.7,1.0,0.5,150.0,223.74269906722108,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",14.0
0,6,14,140,3.501288097020002E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1437,false,0.5,0.7,1.0,0.5,150.0,223.74269906722108,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",15.0
