Exception in thread "DisconnectableInputStream source reader" org.gradle.api.UncheckedIOException: java.io.IOException: Bad file descriptor
	at org.gradle.internal.UncheckedException.throwAsUncheckedException(UncheckedException.java:61)
	at org.gradle.internal.UncheckedException.throwAsUncheckedException(UncheckedException.java:41)
	at org.gradle.util.DisconnectableInputStream$1.run(DisconnectableInputStream.java:127)
	at java.lang.Thread.run(Thread.java:748)
Caused by: java.io.IOException: Bad file descriptor
	at java.io.FileInputStream.readBytes(Native Method)
	at java.io.FileInputStream.read(FileInputStream.java:255)
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:284)
	at java.io.BufferedInputStream.read(BufferedInputStream.java:345)
	at org.gradle.util.DisconnectableInputStream$1.run(DisconnectableInputStream.java:98)
	... 1 more
Configuration on demand is an incubating feature.
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize
0,0,9,548,2.538062437742521E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",11.0
0,1,8,366,2.9546628301500015E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",11.0
0,2,8,153,2.9544630491500013E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",13.0
0,3,9,104,3.07039918913926E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",15.0
0,4,11,139,3.2050163988000013E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",15.0
0,5,14,249,3.362485226760001E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",16.0
0,6,12,244,3.518021124461906E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",17.0
0,7,12,293,3.631096992809758E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",19.0
0,8,12,410,3.631096992809758E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",19.0
0,9,14,499,3.729609009874407E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",18.0
0,10,19,618,3.7573219467827134E7,-1.0,-1.0,scratch,scratch,10000,0.9,0.75,0.1,"1363,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.0338759425863387,0.1,0.1,1.0,0.0",17.0
